path,ext,bytes,sha256_16,brand_class,proposed_action
gui/public/logos/cometapi.png,.png,69988,12ca9d4836892fa0,generic_ui,Keep unless Continue chrome
gui/public/logos/deepseek.png,.png,39273,f5e2376724b3c698,generic_ui,Keep unless Continue chrome
gui/public/logos/docker.png,.png,63380,512543b56384befc,generic_ui,Keep unless Continue chrome
gui/public/logos/fireworks.png,.png,24802,c191b7e2e0a5e306,generic_ui,Keep unless Continue chrome
gui/public/logos/function-network.png,.png,7965,633597ba91f685c3,generic_ui,Keep unless Continue chrome
gui/public/logos/gemini.png,.png,40409,64e675e574ca10af,generic_ui,Keep unless Continue chrome
gui/public/logos/groq.png,.png,22392,6cf58f2839237ae4,generic_ui,Keep unless Continue chrome
gui/public/logos/hunyuan.png,.png,52496,156db1489ee6dc94,generic_ui,Keep unless Continue chrome
gui/public/logos/ibm.png,.png,8066,750c4cb3e40361c2,generic_ui,Keep unless Continue chrome
gui/public/logos/inception.png,.png,13048,b3fa3f62c94c624d,generic_ui,Keep unless Continue chrome
gui/public/logos/lemonade.png,.png,27587,b0919ced1b7ae879,generic_ui,Keep unless Continue chrome
gui/public/logos/llamacpp.png,.png,34267,16c4c14e982316c7,generic_ui,Keep unless Continue chrome
gui/public/logos/llamafile.png,.png,50579,d464e793ea5ea39b,generic_ui,Keep unless Continue chrome
gui/public/logos/lmstudio.png,.png,18853,4edcfda9c5280395,generic_ui,Keep unless Continue chrome
gui/public/logos/meta.png,.png,50138,907e3d525d295aa4,generic_ui,Keep unless Continue chrome
gui/public/logos/mimo.png,.png,108256,c9cab18544c804a4,generic_ui,Keep unless Continue chrome
gui/public/logos/mistral.png,.png,19733,73114ed2ac7cb405,generic_ui,Keep unless Continue chrome
gui/public/logos/moonshot.png,.png,33390,e961861e42fc76da,generic_ui,Keep unless Continue chrome
gui/public/logos/ncompass.png,.png,117223,ddefbce48cc900e9,generic_ui,Keep unless Continue chrome
gui/public/logos/nebius.png,.png,4706,c6888f94d032222c,generic_ui,Keep unless Continue chrome
gui/public/logos/novita.png,.png,2713,c19fd70cd1126e16,generic_ui,Keep unless Continue chrome
gui/public/logos/nvidia.png,.png,38177,a20d697e85d80bf0,generic_ui,Keep unless Continue chrome
gui/public/logos/ollama.png,.png,35748,9ea09b5b70f15d10,generic_ui,Keep unless Continue chrome
gui/public/logos/openai.png,.png,45414,5d4877a114835587,generic_ui,Keep unless Continue chrome
gui/public/logos/openrouter.png,.png,20641,ea6f59a35253c319,generic_ui,Keep unless Continue chrome
gui/public/logos/ovhcloud.png,.png,6710,bccc7f604cf416c6,generic_ui,Keep unless Continue chrome
gui/public/logos/qwen.png,.png,53923,18d526fd763d5b93,generic_ui,Keep unless Continue chrome
