./.idea/modules/com.github.continuedev.continueintellijextension.continue-intellij-extension.iml	text	XML 1.0 document, ASCII text	7
./.idea/modules/com.github.continuedev.continueintellijextension.continue-intellij-extension.main.iml	text	XML 1.0 document, ASCII text	7
./.idea/modules/com.github.continuedev.continueintellijextension.continue-intellij-extension.test.iml	text	XML 1.0 document, ASCII text	7
./.idea/prettier.xml	text	XML 1.0 document, ASCII text	6
./.idea/codeStyles/Project.xml	text	ASCII text	62
./.idea/codeStyles/codeStyleConfig.xml	text	ASCII text	4
./.idea/git_toolbox_blame.xml	text	XML 1.0 document, ASCII text	5
./media/github-readme.png	image	PNG image data, 2176 x 544, 8-bit/color RGB, non-interlaced	2176x544
./media/run-continue-intellij.png	image	PNG image data, 273 x 98, 8-bit/color RGBA, non-interlaced	273x98
./media/readme.png	image	PNG image data, 1500 x 500, 8-bit/color RGBA, non-interlaced	1500x500
./.codex-internal/recovery/FOSSIL_RESCAN_20260708T180041Z.md	text	exported SGML document, ASCII text	57
./.codex-internal/recovery/FOSSIL_RESCAN_20260708T180041Z.md.sidecar.json	text	JSON text data	8
./.codex-internal/README.md.sidecar.json	text	JSON text data	8
./.codex-internal/README.md	text	exported SGML document, ASCII text	19
./README.md	text	HTML document, ASCII text	70
./.eslintrc.shared.json	text	JSON text data	40
./binary/src/IpcMessenger.ts	text	JavaScript source, ASCII text	293
./binary/src/TcpMessenger.ts	text	JavaScript source, ASCII text	202
./binary/src/IpcIde.ts	text	JavaScript source, ASCII text	8
./binary/src/logging.ts	text	JavaScript source, ASCII text	16
./binary/src/index.ts	text	JavaScript source, ASCII text	51
./binary/importMetaUrl.js	text	JavaScript source, ASCII text	2
./binary/build.js	text	JavaScript source, ASCII text	237
./binary/package-lock.json	text	JSON text data	7307
./binary/tsconfig.json	text	ASCII text	21
./binary/package.json	text	JSON text data	60
./binary/jest.config.js	text	JavaScript source, ASCII text	23
./binary/prompt-logs.js	text	JavaScript source, ASCII text	46
./binary/.idea/vcs.xml	text	XML 1.0 document, ASCII text	5
./binary/test/binary.test.ts	text	JavaScript source, ASCII text	379
./binary/README.md	text	ASCII text, with very long lines (391)	43
./binary/utils/targets.js	text	JavaScript source, ASCII text	42
./binary/utils/bundle-binary.js	text	JavaScript source, ASCII text	103
./binary/utils/ripgrep.js	text	JavaScript source, ASCII text	126
./binary/pkgJson/win32-arm64/package.json	text	JSON text data	30
./binary/pkgJson/linux-x64/package.json	text	JSON text data	27
./binary/pkgJson/linux-arm64/package.json	text	JSON text data	27
./binary/pkgJson/darwin-arm64/package.json	text	JSON text data	27
./binary/pkgJson/darwin-x64/package.json	text	JSON text data	27
./binary/pkgJson/win32-x64/package.json	text	JSON text data	30
./binary/core-dev-server.js	text	JavaScript source, ASCII text	10
./binary/.gitignore	text	ASCII text	6
./binary/.continueignore	text	ASCII text, with no line terminators	0
./worktree-config.yaml	text	ASCII text	24
./CLA.md	text	Unicode text, UTF-8 text	48
./BUILD_DEPENDENCIES.md	text	Unicode text, UTF-8 text, with very long lines (323)	133
./CODE_OF_CONDUCT.md	text	ASCII text	73
./docs-site/app/globals.css	text	ASCII text	3
./docs-site/app/components/ClientRedirect.tsx	text	JavaScript source, ASCII text	15
./docs-site/app/components/NotFoundPage.tsx	text	JavaScript source, ASCII text	17
./docs-site/app/layout.tsx	text	JavaScript source, Unicode text, UTF-8 text	43
./docs-site/app/[[...slug]]/page.tsx	text	JavaScript source, ASCII text	133
./docs-site/app/docs.css	text	Unicode text, UTF-8 text	336
./docs-site/app/favicon.ico	image	PNG image data, 1415 x 430, 8-bit/color RGBA, non-interlaced	1415x430
./docs-site/package-lock.json	text	JSON text data	6041
./docs-site/tsconfig.json	text	JSON text data	33
./docs-site/package.json	text	JSON text data	50
./docs-site/scripts/copy-doc-images.ts	text	JavaScript source, ASCII text	70
./docs-site/scripts/build-search-index.ts	text	JavaScript source, ASCII text	118
./docs-site/next-env.d.ts	text	JavaScript source, ASCII text	6
./docs-site/tailwind.config.ts	text	JavaScript source, ASCII text	14
./docs-site/next.config.js	text	JavaScript source, Unicode text, UTF-8 text	28
./docs-site/postcss.config.js	text	JavaScript source, ASCII text	6
./docs-site/public/images/continue-logo-light.png	image	PNG image data, 1415 x 430, 8-bit/color RGBA, non-interlaced	1415x430
./docs-site/components/ui/dialog.tsx	text	JavaScript source, ASCII text, with very long lines (313)	123
./docs-site/components/ui/command.tsx	text	JavaScript source, ASCII text, with very long lines (393)	167
./docs-site/components/docs/TableOfContents.tsx	text	JavaScript source, ASCII text	55
./docs-site/components/docs/CopyPageButton.tsx	text	JavaScript source, ASCII text	28
./docs-site/components/docs/DocsShell.tsx	text	JavaScript source, Unicode text, UTF-8 text	418
./docs-site/components/docs/mdx/index.tsx	text	JavaScript source, Unicode text, UTF-8 text	75
./docs-site/components/docs/mdx/DocsTabs.tsx	text	JavaScript source, Unicode text, UTF-8 text	55
./docs-site/components/docs/mdx/CodeBlock.tsx	text	JavaScript source, ASCII text	80
./docs-site/components/docs/mdx/CodeGroup.tsx	text	JavaScript source, ASCII text	81
./docs-site/components/docs/mdx/ModelRecommendations.tsx	text	JavaScript source, ASCII text	164
./docs-site/components/docs/mdx/Columns.tsx	text	JavaScript source, ASCII text	18
./docs-site/components/docs/mdx/Callout.tsx	text	JavaScript source, ASCII text	48
./docs-site/components/docs/mdx/OSAutoDetect.tsx	text	JavaScript source, ASCII text	23
./docs-site/components/docs/mdx/MdxLink.tsx	text	JavaScript source, ASCII text	18
./docs-site/components/docs/mdx/DocsAccordion.tsx	text	JavaScript source, ASCII text	86
./docs-site/components/docs/mdx/Steps.tsx	text	JavaScript source, ASCII text	55
./docs-site/components/docs/mdx/CardGroup.tsx	text	JavaScript source, ASCII text	82
./docs-site/components/docs/PageNav.tsx	text	JavaScript source, ASCII text	42
./docs-site/components/docs/DocsSearch.tsx	text	JavaScript source, ASCII text	153
./docs-site/.gitignore	text	ASCII text	5
./docs-site/lib/docs.ts	text	JavaScript source, Unicode text, UTF-8 text	283
./docs-site/lib/basePath.ts	text	JavaScript source, ASCII text	18
./docs-site/lib/resolveHref.ts	text	JavaScript source, Unicode text, UTF-8 text	20
./docs-site/lib/utils.ts	text	JavaScript source, ASCII text	6
./docs-site/config/docsNav.ts	text	JavaScript source, Unicode text, UTF-8 text	72
./asset_report.tsv	text	data	311
./core/.eslintrc.json	text	ASCII text	37
./core/indexing/TestCodebaseIndex.ts	text	JavaScript source, ASCII text	76
./core/indexing/CodebaseIndexer.test.ts	text	JavaScript source, ASCII text	829
./core/indexing/ignore.vitest.ts	text	JavaScript source, ASCII text	265
./core/indexing/shouldIgnore.ts	text	JavaScript source, ASCII text	74
./core/indexing/FullTextSearchCodebaseIndex.ts	text	JavaScript source, ASCII text	189
./core/indexing/ignore.ts	text	JavaScript source, ASCII text	274
./core/indexing/FullTextSearchCodebaseIndex.test.ts	text	JavaScript source, ASCII text	69
./core/indexing/LanceDbIndex.test.skip.ts	text	JavaScript source, ASCII text	119
./core/indexing/utils.test.ts	text	JavaScript source, ASCII text	95
./core/indexing/walkDir.ts	text	JavaScript source, ASCII text, with very long lines (304)	347
./core/indexing/CodeSnippetsIndex.test.ts	text	JavaScript source, ASCII text	86
./core/indexing/test/indexing.ts	text	JavaScript source, ASCII text	83
./core/indexing/CodeSnippetsIndex.ts	text	JavaScript source, ASCII text	444
./core/indexing/LanceDbIndex.ts	text	JavaScript source, ASCII text	553
./core/indexing/README.md	text	ASCII text, with very long lines (550)	30
./core/indexing/chunk/ChunkCodebaseIndex.ts	text	JavaScript source, ASCII text	259
./core/indexing/chunk/code.test.ts	text	JavaScript source, ASCII text	130
./core/indexing/chunk/basic.ts	text	JavaScript source, ASCII text	47
./core/indexing/chunk/chunk.test.ts	text	JavaScript source, ASCII text, with very long lines (316)	155
./core/indexing/chunk/markdown.ts	text	JavaScript source, Unicode text, UTF-8 text	153
./core/indexing/chunk/basic.test.ts	text	JavaScript source, ASCII text	87
./core/indexing/chunk/code.ts	text	JavaScript source, ASCII text	263
./core/indexing/chunk/ChunkCodebaseIndex.test.ts	text	JavaScript source, ASCII text	82
./core/indexing/chunk/chunk.ts	text	JavaScript source, ASCII text	106
./core/indexing/utils.ts	text	JavaScript source, ASCII text	54
./core/indexing/continueignore.ts	text	JavaScript source, ASCII text	29
./core/indexing/types.ts	text	JavaScript source, ASCII text	39
./core/indexing/refreshIndex.ts	text	JavaScript source, ASCII text	588
./core/indexing/CodebaseIndexer.ts	text	JavaScript source, ASCII text	872
./core/indexing/refreshIndex.test.ts	text	JavaScript source, Unicode text, UTF-8 text	34
./core/indexing/shouldIgnore.test.ts	text	JavaScript source, ASCII text	167
./core/indexing/docs/DocsService.ts	text	JavaScript source, ASCII text	1292
./core/indexing/docs/migrations.ts	text	JavaScript source, ASCII text	108
./core/indexing/docs/crawlers/DocsCrawler.ts	text	JavaScript source, ASCII text	119
./core/indexing/docs/crawlers/crawl-test-cases.ts	text	JavaScript source, ASCII text	64
./core/indexing/docs/crawlers/CheerioCrawler.ts	text	JavaScript source, ASCII text	148
./core/indexing/docs/crawlers/DefaultCrawler.ts	text	JavaScript source, ASCII text	34
./core/indexing/docs/crawlers/GitHubCrawler.ts	text	JavaScript source, ASCII text	94
./core/indexing/docs/crawlers/ChromiumCrawler.ts	text	JavaScript source, ASCII text	276
./core/indexing/docs/crawlers/DocsCrawler.test.ts	text	JavaScript source, ASCII text	199
./core/indexing/docs/article.ts	text	JavaScript source, ASCII text	214
./core/indexing/docs/DocsService.skip.ts	text	ASCII text	140
./core/indexing/walkDir.test.ts	text	JavaScript source, ASCII text	385
./core/nextEdit/NextEditLoggingService.ts	text	JavaScript source, ASCII text	219
./core/nextEdit/NextEditProvider.ts	text	JavaScript source, ASCII text	628
./core/nextEdit/DocumentHistoryTracker.vitest.ts	text	JavaScript source, ASCII text	228
./core/nextEdit/utils.vitest.ts	text	JavaScript source, ASCII text	96
./core/nextEdit/README.md	text	Unicode text, UTF-8 text	29
./core/nextEdit/utils.ts	text	JavaScript source, ASCII text	32
./core/nextEdit/constants.ts	text	JavaScript source, ASCII text, with very long lines (3362)	69
./core/nextEdit/types.ts	text	JavaScript source, ASCII text	143
./core/nextEdit/context/processNextEditData.ts	text	JavaScript source, ASCII text	151
./core/nextEdit/context/aggregateEdits.ts	text	JavaScript source, ASCII text	628
./core/nextEdit/context/prevEditLruCache.ts	text	JavaScript source, ASCII text	30
./core/nextEdit/context/autocompleteContextFetching.ts	text	JavaScript source, ASCII text	145
./core/nextEdit/context/diffFormatting.vitest.ts	text	JavaScript source, ASCII text	528
./core/nextEdit/context/diffFormatting.ts	text	JavaScript source, ASCII text	247
./core/nextEdit/context/processSmallEdit.ts	text	JavaScript source, ASCII text	53
./core/nextEdit/DocumentHistoryTracker.ts	text	JavaScript source, ASCII text	137
./core/nextEdit/diff/diff.vitest.ts	text	JavaScript source, ASCII text	132
./core/nextEdit/diff/diff.ts	text	JavaScript source, ASCII text	439
./core/nextEdit/NextEditEditableRegionCalculator.ts	text	JavaScript source, ASCII text	911
